	Biamonti	Hess	Op.	Grove	WoO	Title 1	Title 2	Composition Dates 1	Composition Dates 2	Notes 1	Key	Scoring	Genre	Notes 2	Same As	ROW 2
271	157/	—	010/	010/	—		Piano Sonatas (3):	1795-98				pf	Keyboard			21
272	157/1	—	010/1	010/1	—	Piano Sonata No. 5 in C minor	Piano Sonata No.5	1795-97	1795 - 1797	"dedicated to Countess Anna Margarete Browne; also see WoO 52, WoO 53 and Hess 69"	C minor	pf	Keyboard		"Op. 10 #1, Grove 10"	22
273	157/2	—	010/2	010/2	—	Piano Sonata No. 6 in F major	Piano Sonata No.6	1796-97	1796 - 1797	dedicated to Countess Anna Margarete Browne	F major	pf	Keyboard		"Op. 10 #2, Grove 10"	23
274	157/3	—	010/3	010/3	—	Piano Sonata No. 7 in D major	Piano Sonata No.7	1797-98	1797 - 1798	dedicated to Countess Anna Margarete Browne	D major	pf	Keyboard		"Op. 10 #3, Grove 10"	24
275	158	—	—		053	Allegretto for Piano in C minor	Allegretto	1796-97	1796 - 1797	"perhaps originally intended for the Piano Sonata #5, Opus 10 #1; another version is Hess 66"	C minor	pf	Keyboard	originally intended for Op. 10; 1st version	WoO 53	347
276	159	066	—		53	Allegretto for Piano in C minor	Allegretto	1796-97 ?	1796 - 1797	second setting of WoO 53; may also have been intended for the Piano Sonata #5 Opus 10 #1	C minor	pf	Keyboard	2nd version	Hess 66	348
277	160	—	066	066	—	"12 Variations for Piano & Cello in F major: on ""Ein Mädchen oder Weibchen"" fm Mozart’s ""Zauberflöte"""	Variations on 'Ein Mädchen oder Weibchen' (12)	1796	1796		F major	vc pf	Chamber	"based on an aria from Die Zauberflöte, K.620, by Wolfgang Amadeus Mozart"	"Op. 66, Grove 66"	122
278	161/@@@	022–024	—		032	"Duo for Viola & Cello in E flat major: ""mit zwei obligaten Augengläsern"" (with 2 obbligato eyeglasses)"	Duet mit zwei obligaten Augengläsern ('Duet with 2 obbligato eyeglasses')	1796-97	1796 - 1797	"written for Nikolaus Zmeskall; the second movement (Hess 23) is fragmentary; Hess 22, 23 & 24 together make up WoO 32"	E♭ major	va vc	Chamber	movt. II incomplete	WoO 32	317
279	161/@@@	022				"Duo for Viola & Cello in E flat major: ""mit zwei obligaten Augengläsern"" (with 2 obbligato eyeglasses)"			1796 - 1797	"written for Nikolaus Zmeskall; 1st movement of WoO 32; Hess 22, 23 & 24 together make up WoO 32"					Hess 22	
280	161/@@@	023				"Minuet for Viola & Cello in E flat major: ""mit zwei obligaten Augengläsern"" (with 2 obbligato eyeglasses), 3rd movement"			1796 - 1797	"written for Nikolaus Zmeskall; Hess 22, 23 & 24 together make up WoO 32"					Hess 23	
281	161/@@@	024				Fragment for Viola & Cello			1796	"written for Nikolaus Zmeskall; fragment of 2nd (slow) movement of ""mit zwei obligaten Augengläsern"" (with 2 obbligato eyeglasses) WoO 32; Hess 22, 23 & 24 together make up WoO 32"					Hess 24	
282	162	—	129	129	—	"Rondo A Capriccio for Piano in G major: ""Die Wut über den verloren Groschen"" (Rage over a Lost Penny); completed by an unknown editor (probably Diabelli); authorship: unfinished"	Rondo a capriccio ('Rage Over a Lost Penny')	1795	1795		G major	pf	Keyboard		"Op. 129, Grove 129"	257
283	163	027	—	168	011	7 Ländler for Violins & Cello in D major: surviving piano version	Ländler (7)	1799	1799			pf	Keyboard	arr. of version for orch	"WoO 11, Hess 27, Grove 168"	285
284	164	—	—	236	124	"Song in A major: ""La partenza"" (Der Abschied); ""Ecco quel fiero istante!"""	"La Partenza (Der Abschied) (""Ecco quel fiero istante!"")"	1795	1795	words: Pietro Metastasio	A major	v pf	Vocal		"WoO 124, Grove 236"	448
285	165/	—	012/	012/	—		Violin Sonatas (3):	1797-98				vn pf	Chamber			26
286	165/1	—	012/1	012/1	—	Sonata No. 1 for Piano & Violin in D major	Violin Sonata No.1	1797-98	1797 - 1798	dedicated to Antonio Salieri	D major	vn pf	Chamber		"Op. 12 #1, Grove 12"	27
287	165/2	—	012/2	012/2	—	Sonata No. 2 for Piano & Violin in A major	Violin Sonata No.2	1797-98	1797 - 1798	dedicated to Antonio Salieri	A major	vn pf	Chamber		"Op. 12 #2, Grove 12"	28
288	165/3	—	012/3	012/3	—	Sonata No. 3 for Piano & Violin in E flat major	Violin Sonata No.3	1797-98	1797 - 1798	dedicated to Antonio Salieri	E♭ major	vn pf	Chamber		"Op. 12 #3, Grove 12"	29
289	166	—	019	019	—	Concerto No. 2 for Piano & Orchestra in B flat major	Piano Concerto No.2	1788-1801	1788 - 1801	dedicated to Carl Nicklas Edler von Nickelsberg; Biamonti 507 is the usually recorded cadenza; WoO 6 was probably the original finale; Hess 14 is a fragment of the 1st movement of the first version; Hess 79 contains sketches and fragments for a cadenza for the first version	B♭ major	pf orch	Orchestral		"Op. 19, Grove 19"	45
290	167	—	015	015	—	Concerto No. 1 for Piano & Orchestra in C major	Piano Concerto No.1	1795-1800	1795 - 1800	dedicated to Princess Barbara Odescalchi (neé Keglevics); Biamonti 506 has the three usually recorded 1st movement cadenzas; there is no separate catalog number for the brief 3rd movement cadenza; Hess 76 contains sketches & fragments for a cadenza; Hess 77 and 78 are cadenzas now lost; there is also an uncatalogued cadenza found in 1983	C major	pf orch	Orchestral		"Op. 15, Grove 15"	34
291	168	076				Cadenza for Piano in C major; authorship: unfinished			1795 - 1799	"fragments & sketches for a cadenza to Piano Concerto #1, Opus 15"					Hess 76	
292	169	147				"Song: ""Der Kuss"""			1798	first version of Opus 128					Hess 147	
293	170	—	049/1	049/1	—	Easy Piano Sonata No. 19 in G minor	Piano Sonata No.19	1797	1797		G minor	pf	Keyboard		"Op. 49 #1, Grove 49"	91
294	171	286			205/01	"Musical greetings for Solo Voice(s) in C major: ""Baron, Baron, Baron"" (WoO 205a), #1 of 10 musical greetings"			1798	written for Nikolaus Zmeskall; Letter 29					"WoO 205 #1, Hess 286"	
295	172					Fragment for Piano: fragment of a Pastorale; authorship: unfinished			1798							
296	173	—	—	234	126	"Song in E major: ""Opferlied"" (Sacrificial Song); ""Die Flamme lodert"""	"Opferlied(""Die Flamme lodert"")"	1794-95	1794 - 1795	words: Friedrich von Matthisson; earlier version of Opus 121b; 5 arrangements over 30 yrs; also see Hess 91 & Hess 145	E major	v pf	Vocal	"1st version of Op. 121b, Hess 91, Hess 145"	"WoO 126, Grove 234"	450
297	174	135			125	"Song in E flat major: ""La tiranna"", Canzonetta; ""Ah grief to think!"""			1798 - 1799	English words: William Wennington					"WoO 125, Hess 135"	
298	175	—	—	185	073	"10 Variations for Piano in B major: on Salieri’s duet ""La stessa la stessissima"" from ""Falstaff"""	"Variations on 'La stessa, la stessissima' (10)"	1799	1799	dedicated to Countess Barbara von Keglevics	B♭ major	pf	Keyboard	theme from the opera Falstaff by Antonio Salieri	"WoO 73, Grove 185"	369
299	176					"Sketch for Solo Voice(s) & Instrument(s) in D Major: for a Song ""Nähe des
Geliebten""; ""Ich denke dein""; authorship: unfinished"			1799	different setting than Biamonti 177						
300	177	—	—	160	074/@@@	"Song: ""Ich denke dein"", ""Ich denke dein, wenn mir der Sonne Schimmer"""	Variations for Piano Four-Hands on 'Ich denke dein' (6)	1799-1803	1799 - 1803	"dedicated to Therese Brunsvik & Countess Josephine Deym (née Brunsvik); Beethoven wrote the theme to the opening stanza of Goethe’s poem; the song (Biamonti 177) and the variations (Biamonti 418) are all part of the same work, but usually performed & reocrded separately"	D major	pf4h (+ v)	Keyboard / Vocal	theme includes vocal part	"WoO 74, Grove 160"	370
301	178	032				String Quartet in F major			1799	dedicated to Karl Amenda; first version of the Quartet Opus 18 #1					Hess 32	
302	179	—	—	187	076	"8 Variations for Piano in F major: on the Trio ""Tändeln und Scherzen"" from Franz Xaver Süssmayr’s opera ""Soliman II"""	Variations on 'Tändeln und Scherzen' (8)	1799	1799	dedicated to Countess Anna Margarete Browne	F major	pf	Keyboard	theme from the opera ''Soliman oder die drei Sultaninnen'' by Franz Xaver Süssmayr	"WoO 76, Grove 187"	372
303	180/1		014/1	014/1		Piano Sonata No. 9 in E major			1798 - 1799	dedicated to Baroness Josephine von Braun; also arranged for String Quartet Hess 34					"Op. 14 #1, Grove 14"	
304	180/2		014/2	014/2		Piano Sonata No. 10 in G major			1799	dedicated to Baroness Josephine von Braun					"Op. 14 #2, Grove 14"	
305	181	—	—	186	075	"7 Variations for Piano in F major: on the Quartet ""Kind, willst du ruhig schlafen?"" from Peter Winter’s opera ""Das unterbrochene Opferfest"""	"Variations on 'Kind, willst du ruhig schlafen' (7)"	1792-99	1792 - 1799		F major	pf	Keyboard	theme from the opera Das unterbrochene Opferfest by Peter von Winter	"WoO 75, Grove 186"	371
306	182	002			012	12 Minuets for Orchestra; authorship: not certain			1799	"written by Beethoven’s brother Carl, possibley with Ludwig’s help"					"WoO 12, Hess 2"	
307	183	098				Scherzo for Piano; authorship: unfinished			1794 - 1799	"from the Piano Trio Opus 1 #2, for piano solo"					Hess 98	
308	184	—	013	013	—	"Piano Sonata No. 8 in C minor: ""Pathétique"""	Piano Sonata No.8 ('Pathétique')	1797-98	1797 - 1798	dedicated to Prince Karl Lichnowsky	C minor	pf	Keyboard		"Op. 13, Grove 13"	30
309	185	139				"Song: ""Minnesold von Burger, in Tönen an Amenda ausbezahlt"""			1798 - 1799	Lost; words: Bürger?					Hess 139	
310	186	136	—		127	"Song in C major: ""Neue Liebe, neues Leben"" (New love, new life); ""Herz, mein Herz, was soll das geben?"" (1st setting)"	"Neue Liebe, neues Leben (""Herz, mein Herz, was soll das geben?"")"	1798-99	1798 - 1799	Words: Goethe; 2nd setting is Opus 75 #2	C major	v pf	Vocal	1st setting of Op. 75/2	"WoO 127, Hess 136"	451
311	187					Sketch for String Quartet in D Major; authorship: unfinished			1798 - 1799	"sketch for last movement of String Quartet, Opus 18 #3"						
312	188					Sketch for String Quartet in G Major; authorship: unfinished			1798 - 1799	"sketch for first movement of String Quartet, Opus 18 #2"						
313	189					"Fragment for Solo Voice(s) & Instrument(s) in C Major: fragment of a Song ""Muss ein lieber Vater wohnen""; authorship: unfinished"			1798 - 1799							
314	190					"Sketch for Solo Voice(s) & Instrument(s): for a Song ""Meine Lebenszeit verstreicht""; authorship: unfinished"			1798 - 1799							
315	191					Sketch for Piano in C Major; authorship: unfinished			1798 - 1799	"sketch for Intermezzo movement for Piano Sonata #5, Opus 10 #1"						
316	192					Sketch for Solo Voice(s) & Instrument(s): for Songs with French and English Texts; authorship: unfinished			1798 - 1799							
317	193					Sketch for String Quartet in C Minor; authorship: unfinished			1798 - 1799							
318	194					"Sketch for Solo Voice(s) & Instrument(s) in E Flat Major: for a Song ""Komm mit, O Schöne""; authorship: unfinished"			1798 - 1799							
319	195					Sketch for String Quartet in D Minor; authorship: unfinished			1798 - 1799	"sketch for end of second movement of String Quartet, Opus 18 #1"						
320	196					"Sketch for Clarinet, Bassoon, Horn, Violin, Viola, Cello, Bass in E Flat Major; authorship: unfinished"			1798 - 1799	"sketch for Minuet movement of the Septet, Opus 20"						
321	197–200	103–106	—		033@@@		Pieces for Musical Clock (or for flute) (5)	1794-1800				mech/fl	Chamber			318
322	197	103			033/1	Piece for Musical Clock in F major: or for flute; Adagio assai; #1 of 5 pieces			1799						"WoO 33 #1, Hess 103"	
323	198	104			033/2	Piece for Musical Clock in G major: or for flute; Scherzo-Allegro; #2 of 5 pieces			1799 - 1800						"WoO 33 #2, Hess 104"	
324	199	105			033/3	Piece for Musical Clock in G major: or for flute; Allegro; #3 of 5 pieces			1799						"WoO 33 #3, Hess 105"	
325	200/1	106/@@@			033/4	Piece for Musical Clock in C major: or for flute; Allegro non piu molto; #4 of 5 pieces			1794						"WoO 33 #4, Hess 106"	
326	200/2	106/@@@			033/5	Piece for Musical Clock in C major: or for flute; Minuet-Allegretto; #5 of 5 pieces			1794						"WoO 33 #5, Hess 106"	
327	201	131	—		128	"Song in G major: ""Plaisir d’aimer"" ""Plaisir d’aimer besoin d’une âme tendre"""	"Plaisir d'aimer"" (""Plaisir d'aimer besoin d'une âme tendre"")"	1798-99	1798 - 1799	words: Anonymous	G major	v pf	Vocal		"WoO 128, Hess 131"	452
328	202	214	—		099/02	"Trio for Solo Voice(s) in C major: ""Chi mai di questo core"""	Chi mai di questo core	1801-03	1801 - 1803	"written for Antonio Salieri; words: Metastasio: ""Cantate Il ritorno"""	C major	3vv	Vocal		"WoO 99 #2, Hess 214"	400
329	203	—	021	021	—	Symphony No. 1 in C major	Symphony No.1	1799-1800	1799 - 1800	dedicated to Baron Gottfried van Swieten	C major	orch	Orchestral		"Op. 21, Grove 21"	47
330	204	—	020	020	—	"Septet for Clarinet, Bassoon, Horn, Violin, Viola, Cello, Bass in E flat major"	Septet	1799	1799	dedicated to Empress Maria Theresia of Austria; also arranged for piano trio Opus 38; the theme of the Menuetto was taken from the Piano Sonata in G Opus 49 #2	E♭ major	cl bn hn vn va vc db	Chamber		"Op. 20, Grove 20"	46
331	205	021				Andante con Variazioni for Wind Band; authorship: not certain			1802	arrangement of Septet Opus 20 for 11-piece Military Band (fragments); Beethoven’s involvement with arrangement uncertain					Hess 21	
332	206	—	017	017	—	Sonata for Piano & French Horn in F major: also arranged as cello sonata	Horn Sonata	1800	1800	dedicated to Baroness Josephine von Braun	F major	hn pf	Chamber		"Op. 17, Grove 17"	37
333	207					Sketch for Piano; authorship: unfinished			1800	"sketch for March and Rondo movements of Piano Sonata #11, Opus 22"						
334	208	—	022	022	—	Piano Sonata No. 11 in B flat major	Piano Sonata No.11	1800	1800	dedicated to Count Johann Georg Browne	B♭ major	pf	Keyboard		"Op. 22, Grove 22"	48
335	209	—	—	188	077	6 Easy Variations for Piano in G major: on an original theme	Variations in G major(6) ('Six Easy Variations on an Original Theme')	1800	1800		G major	pf	Keyboard		"WoO 77, Grove 188"	373
336	210					Sketch for Instrument(s) in G Major: for a Sonata ; authorship: unfinished			1784 - 1800							
337	211					Fragment for Piano in B Minor; authorship: unfinished			1784 - 1800							
338	212					Fragment for Instrument(s) in E Flat Major; authorship: unfinished			1784 - 1800							
339	213					Fantasia for Piano			1793	in D/D minor						
340	214	—	—		092/@@@	"Scene & Aria in A major: ""Primo amore""; for soprano w/ orchestra"	"Primo amore piacer del ciel, scene and aria"	1791-92	1791 - 1792	words: Anonymous	A major	sop orch	Vocal		WoO 92	390
341	215	230	—		—	"Quartet for Solo Voice(s) in C major: ""Giura il nocchier"""	Giura il nocchier	1792-94	1792 - 1794	"written for Antonio Salieri; first version of WoO 99 #5a; words: Metastasio ""Le gelosia"""	C major	4vv	Vocal	"1st setting, 1st version"	Hess 230	409
342	216	231				"Duet in C major: ""Sei mio ben"""			1801 - 1803	"written for Antonio Salieri; words: Metastasio ""Cantate XXIV""; most likely done at the same time as the WoO 99 works"					Hess 231	
343	217	232				"Song in E flat major: ""E pur fra le tempeste""; tenor melody"			1792 - 1795	"written for Antonio Salieri; words: Metastasio ""La tempeste""; most likely done at the same time as the WoO 99 works"					Hess 232	
344	218/	005/	—		013/		German Dances (12)	1792-97				pf	Keyboard	arr. of version for orch	"WoO 13 (all), Hess 5 (all)"	288
345	218/1	005/01			013/01	Dance for Orchestra in D major: #1 of 12 German Dances; surviving piano version			1792 - 1797						"WoO 13 #1, Hess 5"	
346	218/2	005/02			013/02	Dance for Orchestra in B flat major: #2 of 12 German Dances; surviving piano version			1792 - 1797						"WoO 13 #2, Hess 5"	
347	218/3	005/03			013/03	Dance for Orchestra in G major: #3 of 12 German Dances; surviving piano version			1792 - 1797						"WoO 13 #3, Hess 5"	
348	218/4	005/04			013/04	Dance for Orchestra in D major: #4 of 12 German Dances; surviving piano version			1792 - 1797						"WoO 13 #4, Hess 5"	
349	218/5	005/05			013/05	Dance for Orchestra in F major: #5 of 12 German Dances; surviving piano version			1792 - 1797						"WoO 13 #5, Hess 5"	
350	218/6	005/06			013/06	Dance for Orchestra in B flat major: #6 of 12 German Dances; surviving piano version			1792 - 1797						"WoO 13 #6, Hess 5"	
351	218/7	005/07			013/07	Dance for Orchestra in D major: #7 of 12 German Dances; surviving piano version			1792 - 1797						"WoO 13 #7, Hess 5"	
352	218/8	005/08			013/08	Dance for Orchestra in G major: #8 of 12 German Dances; surviving piano version			1792 - 1797						"WoO 13 #8, Hess 5"	
353	218/9	005/09			013/09	Dance for Orchestra in E flat major: #9 of 12 German Dances; surviving piano version			1792 - 1797						"WoO 13 #9, Hess 5"	
354	218/10	005/10			013/10	Dance for Orchestra in C major: #10 of 12 German Dances; surviving piano version			1792 - 1797						"WoO 13 #10, Hess 5"	
355	218/11	005/11			013/11	Dance for Orchestra in A major: #11 of 12 German Dances; surviving piano version			1792 - 1797						"WoO 13 #11, Hess 5"	
356	218/12	005/12			013/12	Dance for Orchestra in D major: #12 of 12 German Dances; surviving piano version			1792 - 1797						"WoO 13 #12, Hess 5"	
357	219	028				String Trio			1797	2nd trio to the Scherzo for Opus 9 #1					Hess 28	
358	220		051/2	051/2		Rondo for Piano in G major			1798	dedicated to Countess Henriette Lichnowsky					"Op. 51 #2, Grove 51"	
359	221					Sketch for String Quartet in D Minor; authorship: unfinished			1798 - 1800	"sketch for second movement of String Quartet, Opus 18 #1"						
360	222					Sketch for Instrument(s): for a Presto Rondo Movement; authorship: unfinished			1798 - 1800							
361	223					Sketch for Instrument(s) in B Flat Major: for an Allegro; authorship: unfinished			1798 - 1800							
362	224					Sketch for Instrument(s): for Quartets in E-flat major and B-flat major; authorship: unfinished			1798 - 1800							
363	225/	—	018/	018/	—		String Quartets (6):	1798-1800				2vn va vc	Chamber			38
364	225/1	—	018/1	018/1	—	String Quartet No. 1 in F major	String Quartet No.1	1798-1800	1798 - 1800	dedicated to Prince Ferdinand Lobkowitz; 2nd mvmt: scene in burial vault of Romeo & Juliet; Hess 32 is an early version	F major	2vn va vc	Chamber		"Op. 18 #1, Grove 18"	39
365	225/2	—	018/2	018/2	—	"String Quartet No. 2 in G major: ""Compliments Quartet"""	String Quartet No.2	1798-1800	1798 - 1800	dedicated to Prince Ferdinand Lobkowitz	G major	2vn va vc	Chamber		"Op. 18 #2, Grove 18"	40
366	225/3	—	018/3	018/3	—	String Quartet No. 3 in D major	String Quartet No.3	1798-1800	1798 - 1800	dedicated to Prince Ferdinand Lobkowitz; earliest of op 18	D major	2vn va vc	Chamber		"Op. 18 #3, Grove 18"	41
367	225/4	—	018/4	018/4	—	String Quartet No. 4 in C minor	String Quartet No.4	1798-1800	1798 - 1800	dedicated to Prince Ferdinand Lobkowitz	C minor	2vn va vc	Chamber		"Op. 18 #4, Grove 18"	42
368	225/5	—	018/5	018/5	—	String Quartet No. 5 in A major	String Quartet No.5	1798-1800	1798 - 1800	dedicated to Prince Ferdinand Lobkowitz	A major	2vn va vc	Chamber		"Op. 18 #5, Grove 18"	43
369	225/6	—	018/6	018/6	—	String Quartet No. 6 in B flat major	String Quartet No.6	1798-1800	1798 - 1800	dedicated to Prince Ferdinand Lobkowitz	B♭ major	2vn va vc	Chamber		"Op. 18 #6, Grove 18"	44
370	226					Sketch for Instrument(s): for a Presto-Sonata Movement; authorship: unfinished			1799 - 1800							
371	227					Sketch for Instrument(s) in F Major; authorship: unfinished			1800							
372	228					Sketch for Instrument(s) in B Flat Major: for Minuet Movement ; authorship: unfinished			1800							
373	229					Sketch for Instrument(s) in F Major; authorship: unfinished			1800							
374	230					2 Fragments for Instrument(s): in F major and D major; authorship: unfinished			1800							
375	231					Sketch for Instrument(s): for Andantino con Sordini in D major and F major; authorship: unfinished			1800							
376	232					Sketch for Instrument(s) in D Minor: for an Andante ; authorship: unfinished			1800							
377	233/1					Fragment for Instrument(s) in A Flat Major; authorship: unfinished			1800							
378	233/2					Sketch for Instrument(s) in A Flat Major: for a Minuet; authorship: unfinished			1800							
379	233/3					Fragment for Instrument(s) in C Major; authorship: unfinished			1800							
380	234					Sketch for Instrument(s): for a Rondo-Trio in F major and D major; authorship: unfinished			1800							
381	235					"Sketch for Unknown in G major: perhaps for #5 of the ballet ""Creatures of Prometheus"" ; authorship: unfinished"			1800							
382	236					"Sketch for Unknown in G major: ""Les trois Graces""; authorship: unfinished"			1800							
383	237					3 Fragments for Unknown in B flat major; authorship: unfinished			1800	"perhaps for #6 of the ballet ""Creatures of Prometheus"""						
384	238					Presto for Unknown in F major			1800							
385	239					3 Sketches for Unknown: melodic sketches in G and C and sketch in G; authorship: unfinished			1800							
386	240					2 Fragments for Unknown: in D minor & G minor/ major; authorship: unfinished			1800							
387	241					Fragment for Unknown in C minor; authorship: unfinished			1800							
388	242					Fragment for Unknown; authorship: unfinished			1800							
389	243					Fragment for Unknown: in B flat major/ minor; authorship: unfinished			1800							
390	244					"Fragment for Unknown: in E flat major, B flat major; authorship: unfinished"			1800							
391	245					Fragment for Unknown in E flat major; authorship: unfinished			1800							
392	246					Fragment for Unknown in B flat major; authorship: unfinished			1800							
393	247					Fragment for Unknown in B flat major; authorship: unfinished			1800							
394	248					Sketch for Unknown in B flat major; authorship: unfinished			1800							
395	249					Minuet for Orchestra in D major; authorship: unfinished			1800							
396	250					Fragment for Unknown in D minor: fragment of a Fugue; authorship: unfinished			1800							
397	251	073				Bagatelle for Piano in C major			1800						Hess 73	
398	252					Minuet for Orchestra in D major; authorship: unfinished			1800							
399	253					Allegro for Unknown in E flat major: and fragment			1800							
400	254					2 Sketches for Unknown: in B flat major and C major; authorship: unfinished			1800							
401	255					Scene for Instrument(s)			1800							
402	256					Trio for Unknown in D flat major			1800							
403	257					"Piano Trio in B flat major: sketch for a coda, and an Andante in B flat minor; authorship: unfinished"			1800							
404	258					Trio for Unknown in A flat major: of a minuet			1800							
405	259					"Song: ""Minnelied: Der Holdseligen sonder Wank sing ich frolichen Minnesang"", sketch for the melody; authorship: unfinished"			1800	words: Voss						
406	260					"Song: ""Meine Ruh ist hin"", from Goetthe’s ""Faust"", sketch for the melody; authorship: unfinished"			1800							
407	261					"Song: ""Ich sah sie heut, o Liebe!"", completed sketch for the melody; authorship: unfinished"			1800							
408	262	321				Little Instrumental Melody for Piano & Violin in B flat major			1800						Hess 321	
409	263	—	044	044	—	"14 Variations for Piano Trio in E flat major: on a theme from Dittersdorf’s ""Das rote Käppchen"""	Variations (14)	1792	1792	sketched in 1792; date of composition unknown; possibly as a finale for the Trio Opus 1#1	E♭ major	vn va pf	Chamber		"Op. 44, Grove 44"	79
410	264					Sketch for Piano in A major; authorship: unfinished			1800							
411	265					Sketch for Piano; authorship: unfinished			1800							
412	266	—	—		081	Allemande for Piano in A major	Allemande	1793-1822	1793 - 1822		A major	pf	Keyboard		WoO 81	377
413	267					Fragment for Piano in A flat major; authorship: unfinished			1800							
414	268					Fragment for Piano in A major: with effect of horns; authorship: unfinished			1793							
415	269					Andante for Piano in E flat major: Andante Molto										
416	270					Fragment for Piano in F major; authorship: unfinished			1793							
417	271					Fragment for Piano in E flat major; authorship: unfinished			1793							
418	272					Andante for Piano in B flat major			1793							
419	273					Draft for Piano in F major; authorship: unfinished			1793							
420	274					Andante for String Quartet in C major			1793							
421	275					Rondo for Piano in A major: (Bagatelle #11)										
422	276					3 Drafts for Piano: in C and G; authorship: unfinished			1793							
423	277					Presto for Piano in G major			1793							
424	278					Fragment for Piano: succession of chords; authorship: unfinished			1793							
425	279					Allegro for Piano in C major			1793							
426	280					Fragment for Piano in B major: passage; authorship: unfinished			1793							
427	281					"Fragment for String Quartet in E major: cue, modulating into E flat; authorship: unfinished"			1793							
428	282					Fragment for Piano in G major: fragment of a Finale; authorship: unfinished			1793							
429	283					Andante for Piano in D flat major: (Bagatelle)										
430	284	—	014/2@@@		—	Allegro for Piano: sections in A Flat and A Major	Piano Sonata No.10	1799	1793		G major	pf	Keyboard			33
431	285	061@@@	014/1@@@		—	Anglaise for Unknown in D major	Piano Sonata No.9	1798-99	1800		E major	pf	Keyboard		Hess 61	32
432	286	205/@@@				Piano Trio in B flat major: conclusion for an unknown trio			1800	"This is actually the coda, instrumental parts only, of Biamonti 534"					Hess 205	
433	287	—	—	235	123	"Song in G major: ""Zärtliche Liebe"" (Tender Love); ""Ich liebe dich, so wie du mich"""	"Zärtliche Liebe (""Ich liebe dich, so wie du mich"")"	1795	1795	words: Karl Friedrich Herrosee	G major	v pf	Vocal		"WoO 123, Grove 235"	447
434	288/@@@	—	043/@@@	043/@@@	—	"Ballet Music: ""Die Geschöpfe des Prometheus"" (The Creatures of Prometheus)"	Die Geschöpfe des Prometheus (The Creatures of Prometheus)	1800-01	1800 - 1801	"dedicated to Princess Christiane Lichnowsky (née Thun); ballet by Salvatore Viganò; also arranged for piano Hess 90; Hess Anhang 17 is 2 movements arranged for violin & piano, also for string quartet (Beethoven’s authorship not certain)"		orch	Stage		"Op. 43, Grove 43"	78
435	288/@@@		043/@@@	043/@@@		"Overture in C major: ""Die Geschöpfe des Prometheus"" (The Creatures of Prometheus)"			1800 - 1801	dedicated to Princess Christiane Lichnowsky (née Thun)					"Op. 43 #1, Grove 43"	
436	289	090				"Ballet Music for Piano: ""Die Geschöpfe des Prometheus"" (The Creatures of Prometheus)"			1801	"dedicated to Princess Christiane Lichnowsky (née Thun); Opus 43, arranged for piano by Beethoven"					Hess 90	
437	290/1					Sketch for Piano in G major: for a Minuet (no Trio); #1 of 9 Dances for Orchestra; authorship: unfinished			1801	essentially complete in piano score; Biamonti knew of only two of these dances						
438	290/2					Sketch for Piano in E flat major: for a Minuet with Trio; #2 of 9 Dances for Orchestra; authorship: unfinished			1801	essentially complete in piano score; Biamonti knew of only two of these dances - this is the first						
439	290/3					Sketch for Piano in C major: for a Minuet with Trio; #3 of 9 Dances for Orchestra; authorship: unfinished			1801	fairly complete in piano score; Biamonti knew of only two of these dances						
440	290/4					"Sketch for Piano in E flat major: for ""Tedesca 1""(no Trio); #4 of 9 Dances for Orchestra; authorship: unfinished"			1801	piano score missing most of the bass line; Biamonti knew of only two of these dances						
441	290/5					"Sketch for Piano in C major: for ""2da""(presumably 2d Tedesca) with Trio; #5 of 9 Dances for Orchestra; authorship: unfinished"			1801	piano score has no bass line; Biamonti knew of only two of these dances						
442	290/6					Sketch for Piano in G major: for a Minuet? (undesignated) noTrio; #6 of 9 Dances for Orchestra; authorship: unfinished			1801	piano score has only 2 measures of bass line; Biamonti knew of only two of these dances						
443	290/7					Sketch for Piano in E flat major: for a Minuet? (undesignated); #7 of 9 Dances for Orchestra; authorship: unfinished			1801	Biamonti knew of only two of these dances - this is the second						
444	290/8					Sketch for Piano in A major: for a Minuet and Trio; #8 of 9 Dances for Orchestra; authorship: unfinished			1801	almost entirely complete; Biamonti knew of only two of these dances						
445	290/9					Sketch for Piano in C major: for a Dance (Tedesca?) no Trio; #9 of 9 Dances for Orchestra; authorship: unfinished			1801	has about half the bass line; Biamonti knew of only two of these dances						
446	291					Andante: for a symphony			1801							
447	292					March for Unknown: with variations			1801							
448	293	—	023	023	—	Sonata No. 4 for Piano & Violin in A minor	Violin Sonata No.4	1800-01	1800 - 1801	dedicated to Count Moritz von Fries	A minor	vn pf	Chamber		"Op. 23, Grove 23"	49
449	294	—	024	024	—	"Sonata No. 5 for Piano & Violin in F major: ""Frühlings - Sonate"" (Spring)"	Violin Sonata No.5	1800-01	1800 - 1801	dedicated to Count Moritz von Fries	F major	vn pf	Chamber		"Op. 24, Grove 24"	50
450	295/	—	—	141/	014/		Contredanses (12)	1791-1802				orch	Orchestral	"Nos. 1, 2, 4, 5, 7, 8, 9, 10 and 12 arr. for pf as Hess 102"	"WoO 14 (all), Grove 141 (all)"	289
451	295/1			141/01	014/01	Contredanse for Small Orchestra in C major: #1 of 12 Contredanses			1791 - 1802	piano version is Hess 102					"WoO 14 #1, Grove 141"	
